movie_id,crew_name,job,department
862,John Lasseter,Director,Directing
8844,Joe Johnston,Director,Directing
15602,Howard Deutch,Director,Directing
31357,Forest Whitaker,Director,Directing
11862,Charles Shyer,Director,Directing
949,Michael Mann,Director,Directing
11860,Sydney Pollack,Director,Directing
45325,Peter Hewitt,Director,Directing
9091,Peter Hyams,Director,Directing
710,Martin Campbell,Director,Directing
9087,Rob Reiner,Director,Directing
12110,Mel Brooks,Director,Directing
21032,Simon Wells,Director,Directing
10858,Oliver Stone,Director,Directing
1408,Renny Harlin,Director,Directing
524,Martin Scorsese,Director,Directing
4584,Ang Lee,Director,Directing
5,Allison Anders,Director,Directing
5,Alexandre Rockwell,Director,Directing
5,Robert Rodriguez,Director,Directing
5,Quentin Tarantino,Director,Directing
9273,Steve Oedekerk,Director,Directing
11517,Joseph Ruben,Director,Directing
8012,Barry Sonnenfeld,Director,Directing
1710,Jon Amiel,Director,Directing
9691,Richard Donner,Director,Directing
12665,Victor Salva,Director,Directing
451,Mike Figgis,Director,Directing
16420,Oliver Parker,Director,Directing
9263,Lesli Linka Glatter,Director,Directing
17015,Roger Michell,Director,Directing
902,Jean-Pierre Jeunet,Director,Directing
902,Marc Caro,Director,Directing
37557,Zhang Yimou,Director,Directing
9909,John N. Smith,Director,Directing
63,Terry Gilliam,Director,Directing
78802,Jean-Jacques Annaud,Director,Directing
9598,Chris Noonan,Director,Directing
47018,Christopher Hampton,Director,Directing
687,Tim Robbins,Director,Directing
139405,Stephen Low,Director,Directing
33689,Andy Tennant,Director,Directing
9603,Amy Heckerling,Director,Directing
34615,Darrell James Roodt,Director,Directing
31174,Richard Loncraine,Director,Directing
11443,Albert Hughes,Director,Directing
11443,Allen Hughes,Director,Directing
35196,Michael Hoffman,Director,Directing
9312,Paul W.S. Anderson,Director,Directing
577,Gus Van Sant,Director,Directing
11861,Jocelyn Moorhouse,Director,Directing
807,David Fincher,Director,Directing
10530,Mike Gabriel,Director,Directing
10530,Eric Goldberg,Director,Directing
8391,Patricia Rozema,Director,Directing
629,Bryan Singer,Director,Directing
117164,Richard W. Munchkin,Director,Directing
11448,Woody Allen,Director,Directing
49133,Gianni Amelio,Director,Directing
26441,Holly Goldberg Sloan,Director,Directing
97406,Ulu Grosbard,Director,Directing
124057,Robert Tinnell,Director,Directing
9089,Jodie Foster,Director,Directing
11010,Michael Radford,Director,Directing
99040,Robert Lepage,Director,Directing
11359,Frank Oz,Director,Directing
17182,John Schlesinger,Director,Directing
2054,Stephen Herek,Director,Directing
10607,Paris Barclay,Director,Directing
19760,Bill Bennett,Director,Directing
9536,Jason Bloom,Director,Directing
11525,Farhad Mann,Director,Directing
40628,James Foley,Director,Directing
4482,Josiane Balasko,Director,Directing
10634,F. Gary Gray,Director,Directing
755,Robert Rodriguez,Director,Directing
11859,Andrew Sipes,Director,Directing
28387,Noah Baumbach,Director,Directing
48750,Claude Lelouch,Director,Directing
20927,Michael Goldenberg,Director,Directing
36929,Steve Miner,Director,Directing
9102,Christian Duguay,Director,Directing
124626,Susanne Ofteringer,Director,Directing
27526,Sean Penn,Director,Directing
9623,Brian Gibson,Director,Directing
46785,Jafar Panahi,Director,Directing
400,Gary Fleder,Director,Directing
880,Marleen Gorris,Director,Directing
146599,Tim Reid,Director,Directing
188588,Henry Jaglom,Director,Directing
8447,Philip Haas,Director,Directing
10534,Ridley Scott,Director,Directing
17414,Ken Kwapis,Director,Directing
13997,Penelope Spheeris,Director,Directing
2086,John Badham,Director,Directing
61548,John Duigan,Director,Directing
9095,Stephen Frears,Director,Directing
12158,Wes Craven,Director,Directing
9283,Ted Demme,Director,Directing
9208,John Woo,Director,Directing
40154,Kenneth Branagh,Director,Directing
406,Mathieu Kassovitz,Director,Directing
45549,Paul W.S. Anderson,Director,Directing
63076,Nick Broomfield,Director,Directing
11062,Harold Becker,Director,Directing
13685,Wes Anderson,Director,Directing
47475,Nick Castle,Director,Directing
2045,John Dahl,Director,Directing
9614,Dennis Dugan,Director,Directing
688,Clint Eastwood,Director,Directing
11907,Doris Dörrie,Director,Directing
10874,Brian Henson,Director,Directing
89333,Robert Leacock,Director,Directing
96357,James Bruce,Director,Directing
197,Mel Gibson,Director,Directing
103,Martin Scorsese,Director,Directing
33542,Stanley Tong,Director,Directing
43566,Barbet Schroeder,Director,Directing
71754,Mort Ransen,Director,Directing
43612,Étienne Chatiliez,Director,Directing
51352,Jon Blair,Director,Directing
16934,Benjamin Ross,Director,Directing
10324,Eric Schaeffer,Director,Directing
78406,Andrew Davis,Director,Directing
55731,Charles T. Kanganis,Director,Directing
32119,John N. Smith,Director,Directing
11066,Reginald Hudlin,Director,Directing
11104,Wong Kar-wai,Director,Directing
37975,Giuseppe Tornatore,Director,Directing
2074,David O. Russell,Director,Directing
27793,Peter MacDonald,Director,Directing
44284,Moufida Tlatli,Director,Directing
290157,Michel Negroponte,Director,Directing
110972,Bryan Gordon,Director,Directing
32622,Rebecca Miller,Director,Directing
73067,Michael Lindsay-Hogg,Director,Directing
11863,William Friedkin,Director,Directing
55475,Ángel Muñiz,Director,Directing
124636,Craig Baldwin,Director,Directing
9101,David S. Ward,Director,Directing
123360,Mark Rappaport,Director,Directing
5757,Dirk Shafer,Director,Directing
39428,Terence Davies,Director,Directing
124639,Sandip Ray,Director,Directing
9302,Jon Avnet,Director,Directing
11000,Mike Nichols,Director,Directing
249882,Jakov Sedlar,Director,Directing
16388,Edward Burns,Director,Directing
9737,Michael Bay,Director,Directing
30765,Christopher Cain,Director,Directing
10474,Scott Kalvert,Director,Directing
22279,Mike Newell,Director,Directing
30157,Hal Hartley,Director,Directing
568,Ron Howard,Director,Directing
11780,Michael Caton-Jones,Director,Directing
34996,Abel Ferrara,Director,Directing
414,Joel Schumacher,Director,Directing
649,Luis Buñuel,Director,Directing
1873,John Boorman,Director,Directing
5894,Paul Auster,Director,Directing
5894,Wayne Wang,Director,Directing
1775,Michael Moore,Director,Directing
8839,Brad Silberling,Director,Directing
20649,Spike Lee,Director,Directing
10329,Frank Marshall,Director,Directing
8963,Tony Scott,Director,Directing
26564,Terry Zwigoff,Director,Directing
8068,Robert Rodriguez,Director,Directing
8512,Carl Franklin,Director,Directing
1572,John McTiernan,Director,Directing
13552,Gregg Araki,Director,Directing
259209,Christopher Menaul,Director,Directing
6520,Jerry Zucker,Director,Directing
9073,Dwight H. Little,Director,Directing
10428,Iain Softley,Director,Directing
17447,Christopher Ashley,Director,Directing
9886,Robert Longo,Director,Directing
9482,Danny Cannon,Director,Directing
19326,John Fortenberry,Director,Directing
9344,Larry Clark,Director,Directing
9071,Tom DiCillo,Director,Directing
8973,Clive Barker,Director,Directing
15730,Denys Arcand,Director,Directing
47608,Antonia Bird,Director,Directing
2293,Kevin Smith,Director,Directing
9070,Bryan Spicer,Director,Directing
68274,David Anspaugh,Director,Directing
48787,Anthony Waller,Director,Directing
34574,Michael Almereyda,Director,Directing
1642,Irwin Winkler,Director,Directing
11472,Chris Columbus,Director,Directing
36196,Daisy von Scherler Mayer,Director,Directing
11980,Gregory Widen,Director,Directing
58372,Norman René,Director,Directing
32646,Todd Haynes,Director,Directing
10533,Roland Joffé,Director,Directing
10802,Paul Verhoeven,Director,Directing
10149,Wayne Wang,Director,Directing
10149,Paul Auster,Director,Directing
18402,Lasse Hallström,Director,Directing
9348,Roger Donaldson,Director,Directing
139408,James Keach,Director,Directing
281,Kathryn Bigelow,Director,Directing
5967,Jacques Demy,Director,Directing
79593,Wesley Strick,Director,Directing
47939,Martha Coolidge,Director,Directing
36834,Agnieszka Holland,Director,Directing
9090,Beeban Kidron,Director,Directing
3512,Geoff Murphy,Director,Directing
52856,Diane Keaton,Director,Directing
77350,Douglas Keeve,Director,Directing
9560,Alfonso Aráu,Director,Directing
9804,Kevin Reynolds,Director,Directing
31611,Desmond Nakano,Director,Directing
65796,Walter Hill,Director,Directing
49805,Mike Figgis,Director,Directing
26258,Greg Beeman,Director,Directing
50797,Nikita Mikhalkov,Director,Directing
19155,Milčo Mančevski,Director,Directing
76,Richard Linklater,Director,Directing
11017,Tamra Davis,Director,Directing
37141,Guy Ferland,Director,Directing
9382,Herbert Ross,Director,Directing
6715,Peter Horton,Director,Directing
18256,Stuart Gordon,Director,Directing
22625,Pat O'Connor,Director,Directing
2292,Kevin Smith,Director,Directing
1909,Jeremy Leven,Director,Directing
8984,Barry Levinson,Director,Directing
61813,René Bonnière,Director,Directing
4954,John Badham,Director,Directing
62488,Jack Baran,Director,Directing
10531,Roman Polanski,Director,Directing
11929,Taylor Hackford,Director,Directing
8467,Peter Farrelly,Director,Directing
8467,Bobby Farrelly,Director,Directing
10451,Ang Lee,Director,Directing
20156,Atom Egoyan,Director,Directing
18395,Garry Marshall,Director,Directing
522,Tim Burton,Director,Directing
397,Lawrence Kasdan,Director,Directing
10525,Billy Crystal,Director,Directing
27985,Phillip Borsos,Director,Directing
15789,Kevin Lima,Director,Directing
15789,Paul Brizzi,Director,Directing
27303,Brett Leonard,Director,Directing
21183,Carlo Carlei,Director,Directing
10954,Gérard Corbiau,Director,Directing
47867,Mark Lewis,Director,Directing
43475,Art Clokey,Director,Directing
72031,Charles Burnett,Director,Directing
14275,Steve James,Director,Directing
1024,Peter Jackson,Director,Directing
17207,Randall Miller,Director,Directing
13701,Bernard Rose,Director,Directing
14819,Steven Brill,Director,Directing
32631,J. F. Lawton,Director,Directing
11777,Fred Schepisi,Director,Directing
628,Neil Jordan,Director,Directing
87729,James Ivory,Director,Directing
18713,James Melkonian,Director,Directing
6280,Ivan Reitman,Director,Directing
9061,Arne Glimcher,Director,Directing
37108,Michael Gottlieb,Director,Directing
6071,Barbet Schroeder,Director,Directing
11,George Lucas,Director,Directing
9587,Gillian Armstrong,Director,Directing
19101,Alfonso Cuarón,Director,Directing
49980,Ken Loach,Director,Directing
17961,Claude Chabrol,Director,Directing
18183,Alfonso Aráu,Director,Directing
4476,Edward Zwick,Director,Directing
11008,Nick Castle,Director,Directing
47504,James Gray,Director,Directing
32325,Allison Anders,Director,Directing
43742,Glenn Gordon Caron,Director,Directing
28313,Stephen Gyllenhaal,Director,Directing
11318,Nicholas Hytner,Director,Directing
3036,Kenneth Branagh,Director,Directing
40490,James Orr,Director,Directing
24070,Nora Ephron,Director,Directing
8986,Richard Benjamin,Director,Directing
10510,Les Mayfield,Director,Directing
17402,David Frankel,Director,Directing
38722,Gregory Nava,Director,Directing
8438,Marc Rocco,Director,Directing
11593,Robert Benton,Director,Directing
1945,Michael Apted,Director,Directing
39310,Nick Gomez,Director,Directing
109560,Tōru Murakawa,Director,Directing
56428,Vadim Jean,Director,Directing
63105,Albert Pyun,Director,Directing
131957,Alan Jacobs,Director,Directing
241,Oliver Stone,Director,Directing
9058,Norman Jewison,Director,Directing
527,Lee Tamahori,Director,Directing
18220,Anne Goursaud,Director,Directing
6950,Wolfgang Petersen,Director,Directing
101,Luc Besson,Director,Directing
63020,Mira Nair,Director,Directing
2307,Joshua Brand,Director,Directing
680,Quentin Tarantino,Director,Directing
41478,Mario Van Peebles,Director,Directing
25296,Ang Lee,Director,Directing
40156,Antonia Bird,Director,Directing
11450,Robert Redford,Director,Directing
30304,Kayo Hatta,Director,Directing
10452,Patrice Chéreau,Director,Directing
12106,Sam Raimi,Director,Directing
161495,Peter Yates,Director,Directing
3586,Robert Altman,Director,Directing
110,Krzysztof Kieślowski,Director,Directing
108,Krzysztof Kieślowski,Director,Directing
109,Krzysztof Kieślowski,Director,Directing
159185,He Ping,Director,Directing
36357,Fred Gerber,Director,Directing
92769,George Mihalka,Director,Directing
28033,Harold Ramis,Director,Directing
22586,Richard Rich,Director,Directing
14334,John Sayles,Director,Directing
2636,Luis Llosa,Director,Directing
2164,Roland Emmerich,Director,Directing
11395,John Pasquin,Director,Directing
278,Frank Darabont,Director,Directing
9905,Danny Boyle,Director,Directing
87078,Scott McGehee,Director,Directing
87078,David Siegel,Director,Directing
12527,Tomás Gutiérrez Alea,Director,Directing
12527,Juan Carlos Tabío,Director,Directing
20306,George Huang,Director,Directing
36614,Kevin Dowling,Director,Directing
36614,Geoff Burton,Director,Directing
27993,Kelly Makin,Director,Directing
31439,Zhang Yimou,Director,Directing
9067,Rachel Talalay,Director,Directing
9059,Ernest R. Dickerson,Director,Directing
